id	Authors	Apellidos	Title	abstract	type
32	Jean Cardinal and Micha Sharir	Cardinal and Micha Sharir	Implicit representations via the polynomial method	Semialgebraic graphs are graphs whose vertices are points in $\mathbb{R}^d$, and adjacency between two vertices is determined by the truth value of a semialgebraic predicate of constant complexity. We show how to harness polynomial partitioning methods to construct compact adjacency labeling schemes  for families of semialgebraic graphs. <br> That is, we show that for any family of semialgebraic graphs, given a graph on $n$ vertices in this family, we can assign a label consisting of $O(n^{1-2/(d+1) + \varepsilon})$ bits to each vertex (where $\varepsilon > 0$ can be made arbitrarily small and the constant of proportionality depends on $\varepsilon$ and on the complexity of the adjacency-defining predicate),  such that adjacency between two vertices can be determined solely from their two labels, without any additional information.  We obtain for instance that unit disk graphs and segment intersection graphs have such labelings with labels of $O(n^{1/3 + \varepsilon})$ bits. This is in contrast to their natural implicit representation consisting of the coordinates of the  disk centers or segment endpoints, which sometimes require exponentially many bits. It also improves on the best known bound of $O(n^{1-1/d}\log n)$ for $d$-dimensional  semialgebraic families due to  Alon (\textit{Discrete Comput. Geom.}, 2024), a bound that holds more generally for graphs with shattering functions bounded by a degree-$d$ polynomial in $n$. Our labeling scheme is efficient in the sense  that not only adjacency between two vertices can be decided in time linear in the size of their labels, but the labels can be computed in subquadratic time on a real RAM from the input points and the  semialgebraic adjacency predicate, using recent polynomial partitioning algorithms.  <br>  We also give new bounds on the size of adjacency labels for other families of graphs. In particular, we consider semilinear graphs, which are semialgebraic graphs in which the  predicate only involves linear polynomials. We show that semilinear graphs have adjacency labels  of size $O(\log n)$. We also prove that polygon visibility graphs, which are not semialgebraic  in the above sense, have adjacency labels of size $O(\log^3 n)$.	T
33	Michal Černý, Miroslav Rada and Ondřej Sokol	Černý, Miroslav Rada and Ondřej Sokol	Complexity of MaxVar and cliques in a random intersection graph	"The MaxVar problem reads: given a family of $n$ compact intervals, select one number in each interval so as to maximize the variance of the selected numbers.  The problem is NP-hard, but under a natural probabilistic model it is solvable in time $O(n^{1\, +\, 0.7/\log\log n})$ on average. This incredibly good bound is achieved by the algorithm by Ferson, Ginsburg, Kreinovich, Longpré and Aviles (""FGKLA"") from <a href=""https://doi.org/10.1007/s11155-005-3616-1"">DOI:~10.1007/s11155-005-3616-1</a>. Its complexity depends exponentially on~$\omega_n$, the size of the largest clique in the intersection graph of the intervals shrunk by factor~$n$. We focus on the case when the intervals have <em>infinite expected width</em>, complementing the finite case analyzed in <a href=""https://doi.org/10.1007/s00037-024-00254-3"">DOI:~10.1007/s00037-024-00254-3</a>. (In a sense, this makes the picture of behavior of FGKLA complete.) We show that $\mathsf{E}\omega_n$, and thus the expected complexity of the algorithm, is driven by the speed of divergence of the integral of the survival function. If it diverges at the logarithmic rate, $\omega_n$ is still small enough and FGKLA works polynomially on average. (This property might seem surprising: one would guess $\omega_n$ to be large when the intervals have width $\infty$ on average.) We also derive lower bounds implying that above $\log n$ the algorithm becomes superpolynomial. For example: when the order of the highest finite moment is strictly below one (and bounded away from one), the algorithm needs time $\Omega(2^{n^{\varepsilon}})$ for some $\varepsilon > 0$. Finally, in addition to expected complexity, the proof method also allows us to derive bounds on smoothed complexity in the Spielman-Teng sense."	P
34	Víctor Franco Sánchez, Mercé Mora and María Luz Puertas	Franco Sánchez, Mercé Mora and María Luz Puertas	Metric representations of graphs: minimality and computational complexity	The  <em>metric coordinates</em> of a vertex $u$ of a graph $G$ with respect to an ordered set $W$ of vertices of $G$ is the vector of distances from $u$ to the vertices of $W$. We say that $W$ is a <em>resolving set</em> of $G$ if different vertices have different metric coordinates. Hence, if $W$ is a resolving set of a graph $G$, then the set of metric coordinates has cardinality the order of $G$.  Here, we study the reverse problem, that is, given a set $S$ of vectors with integer entries, determine if there exists a graph $G$ and a resolving set $W$ of vertices of $G$ such that $S$ is the set of metric coordinates of the vertices of G with respect to $W$. In such a case, we say that the pair $(G,W)$ <em>realizes</em> $S$. The sets that can be realized in this way were characterized in a previous work. In this work, we study  minimal realizations with respect to the inclusion of the set of edges and some computational complexity problems.	P
35	Alexey Gordeev	Gordeev	Bollobás–Meir TSP Conjecture Holds Asymptotically	In 1992, Bollobás and Meir showed that for every $k \geq 1$ there exists a constant $c_k$ such that, for any $n$ points in the $k$-dimensional unit cube $[0, 1]^k$, one can find a tour $x_1, \dots, x_n$ through these $n$ points with $\sum_{i = 1}^n |x_i - x_{i + 1}|^k \leq c_k$, where $x_{n + 1} = x_1$ and $|x - y|$ is the Euclidean distance between $x$ and $y$. Remarkably, this bound does not depend on $n$, the number of points. They conjectured that the optimal constant is $c_k = 2 \cdot k^{k / 2}$ and showed that it cannot be taken lower than that. This conjecture was recently revised for $k = 3$ by Balogh, Clemen and Dumitrescu, who showed that $c_3 \geq 2^{7/2} > 2 \cdot 3^{3/2}$. It remains open for all $k > 2$, with the best known upper bound $c_k \leq 2.65^k \cdot k^{k / 2} \cdot (1 + o_k(1))$. <br> We significantly narrow the gap between lower and upper bounds on $c_k$, reducing it from exponential to linear. Specifically, we prove that $c_k \leq  2\mathrm{e}(k + 1) \cdot k^{k / 2}$ and $c_k = k^{k / 2} \cdot (2 + o_k(1))$, the latter establishing the conjecture asymptotically. We also obtain analogous results for related problems on Hamiltonian paths, spanning trees and perfect matchings in the unit cube. Our main tool is a new generalization of the ball packing argument used in earlier works.	T
36	Pablo Candela, Diego González-Sánchez and Balázs Szegedy	Candela, Diego González-Sánchez and Balázs Szegedy	An algorithmic spectral approach to higher-order Fourier analysis	"We present a new approach to higher-order Fourier analysis on arbitrary finite abelian groups, based on spectral decompositions of certain Hermitian matrices. In particular, this yields a new regularity decomposition for functions relative to the Gowers $U^3$-norm, which can be computed efficiently (we will present implementations using Python). This extended abstract outlines the central ideas and results underpinning this approach, based partly on the preprint <a href=""https://doi.org/10.48550/arXiv.2501.12287"">arXiv:2501.12287</a> and on papers in preparation."	T
38	Cameron Strachan and Konrad Swanepoel	Strachan and Konrad Swanepoel	The number of occurrences of the two smallest distances	 For each value of $\rho > 1$, let $e(n,\rho)$ denote the maximum combined number of occurrences of the smallest and second smallest distances in a set of $n$ points in the plane, given that the smallest distance is $1$ and the second smallest distance is $\rho$. We determine the asymptotics of $e(n,\rho) = f(\rho)n-o(n)$ for all except six values of $\rho$. For these exceptional values, we determine upper and lower bounds that are quite close. The hardest exceptional value is the golden ratio $\varphi=\frac{1+\sqrt{5}}{2}$, where we give the bounds $53/13\leq f(\varphi)\leq 4.375$ with the lower bound disproving a conjecture of Csizmadia. It turns out that for all except finitely many values of $\rho$, $f(\rho)\in\{3,7/2\}$.	T
39	Simeon Ball and Robin Simoens	Ball and Robin Simoens	Mutually entangled quantum Latin squares	 We compare two ways to define the quantum analogue of mutually orthogonal Latin squares: with and without entanglement. We prove that there exist arbitrarily many mutually entangled quantum Latin squares (MEQLS) of any order, providing a motivation to look at non-entangled mutually orthogonal Latin squares (MOQLS) instead.	P
40	John Bamberg and Lukas Klawuhn	Bamberg and Lukas Klawuhn	Designs of perfect matchings	We investigate generalisations of 1-factorisations and hyperfactorisations of the complete graph $K_{2n}$. We show that they are special subsets of the association scheme obtained from the Gelfand pair $(S_{2n},S_2 \wr S_n)$. This unifies and extends results by Cameron (1976) and gives rise to new existence and non-existence results. Our methods involve working in the group algebra $\mathbb{C}[S_{2n}]$ and using the representation theory of $S_{2n}$.	T
41	Tássio Naia, Guillem Perarnau and Xavier Povill	Naia, Guillem Perarnau and Xavier Povill	Balanced subtournaments of a random tournament	We study the size of the largest balanced subtournament in a random tournament on $n$ vertices. A tournament is balanced if all vertices have equal indegree and outdegree. We show that, with high probability, the largest balanced subtournament has size $O(n^{2/3})$. Moreover, for every $k = o(n^{2/3})$, with high probability the random tournament on $n$ vertices contains a balanced subtournament of size $k$. Our proof combines enumeration results for tournaments with prescribed degree sequences, due to McKay and Wang, with probabilistic arguments of Krivelevich, Sudakov and Wormald.	T
43	Max Kölbl	Kölbl	Toward a lattice interpretation of the roots of Ehrhart polynomials	Ehrhart polynomial roots have been an active object of study for the last 26 years, usually with regards to their distribution in $\mathbb{C}$. However, their meaning has remained mysterious. We present an approach in which an Ehrhart polynomial root, up to algebraic conjugates, in terms of the underlying lattice polytope by identifying it with a $p$-adic root arising from the same minimal polynomial.	P
